TransactionID,Date,CustomerID,CustomerSegment,Category,ProductName,Quantity,UnitPrice,TotalAmount,PaymentMethod
TRX-859813,2025-12-24 04:29:00,12068,New,Sports,Tennis Racket,1,83.71,83.71,Credit Card
TRX-453491,2026-04-28 12:05:44,87992,New,Home & Garden,Lamp,1,36.71,36.71,Debit Card
TRX-187697,2025-06-06 18:01:27,74251,Regular,Clothing,Sneakers,4,107.19,428.76,Debit Card
TRX-914617,2025-10-24 06:23:30,47828,Regular,Electronics,Smartphone,1,716.27,716.27,Cash
TRX-294069,2025-11-12 03:28:20,51704,Regular,Clothing,T-Shirt,2,15.2,30.4,Debit Card
TRX-898717,2026-04-09 00:06:14,78955,New,Electronics,Laptop,2,1177.96,2355.92,Credit Card
TRX-171108,2025-12-03 03:43:20,51145,Regular,Sports,Dumbbells,1,48.97,48.97,Credit Card
TRX-639907,2026-03-12 09:06:23,22704,Regular,Clothing,T-Shirt,3,16.99,50.97,Credit Card
TRX-552760,2025-12-23 19:04:19,71592,Regular,Home & Garden,Lamp,1,34.47,34.47,Credit Card
TRX-348250,2026-02-01 06:28:00,86011,Regular,Sports,Yoga Mat,2,15.7,31.4,Credit Card
TRX-695048,2025-05-13 06:45:47,80776,New,Electronics,Monitor,1,352.38,352.38,PayPal
TRX-267138,2025-06-09 23:36:37,50404,Regular,Clothing,Jeans,1,45.67,45.67,Credit Card
TRX-302338,2025-05-08 23:57:25,18993,Regular,Clothing,Jacket,3,114.79,344.37,PayPal
TRX-905842,2025-11-16 12:20:13,25866,Regular,Home & Garden,Blender,2,48.67,97.34,Credit Card
TRX-745915,2025-05-12 00:19:40,66346,VIP,Sports,Water Bottle,2,21.19,42.38,Credit Card
TRX-617420,2025-10-15 03:04:56,72070,Regular,Electronics,Headphones,1,119.91,119.91,Debit Card
TRX-189288,2025-07-14 10:28:52,90623,Regular,Clothing,Jacket,1,112.34,112.34,Debit Card
TRX-634299,2025-10-30 10:22:15,80798,VIP,Clothing,Sneakers,1,101.36,101.36,PayPal
TRX-934328,2025-11-24 06:07:52,20322,Regular,Home & Garden,Blender,3,67.15,201.45000000000002,PayPal
TRX-111846,2026-01-04 11:55:46,93606,Regular,Home & Garden,Coffee Maker,1,68.27,68.27,Debit Card
TRX-382154,2026-01-08 18:10:05,57823,New,Home & Garden,Lamp,1,58.26,58.26,Credit Card
TRX-732575,2026-03-11 01:19:23,39466,Regular,Clothing,Jacket,1,60.1,60.1,Debit Card
TRX-497455,2026-02-09 15:07:11,85914,Regular,Clothing,Jeans,2,54.83,109.66,Debit Card
TRX-992562,2025-06-15 10:44:13,89964,Regular,Clothing,Sneakers,1,61.88,61.88,Debit Card
TRX-817956,2025-11-07 16:09:05,90931,New,Sports,Yoga Mat,1,20.36,20.36,Credit Card
TRX-639764,2026-04-15 18:40:58,33053,Regular,Electronics,Laptop,1,1355.08,1355.08,PayPal
TRX-862067,2026-02-16 03:34:51,63955,New,Home & Garden,Plant Pot,4,17.56,70.24,Credit Card
TRX-699252,2026-01-06 02:48:50,90728,Regular,Electronics,Smartphone,1,860.46,860.46,PayPal
TRX-226395,2026-04-03 11:55:55,39015,New,Clothing,Jacket,3,132.9,398.70000000000005,Credit Card
TRX-484795,2025-05-13 16:49:17,37549,Regular,Home & Garden,Lamp,1,46.23,46.23,Debit Card
TRX-841618,2025-10-14 20:11:18,31992,Regular,Electronics,Monitor,1,227.76,227.76,Credit Card
TRX-591989,2025-11-24 12:25:02,13804,Regular,Sports,Yoga Mat,2,31.14,62.28,Cash
TRX-314140,2025-06-18 11:14:51,81376,New,Clothing,Jacket,1,124.88,124.88,Cash
TRX-423284,2025-10-27 15:38:14,84607,Regular,Clothing,Jacket,1,119.27,119.27,Debit Card
TRX-700815,2025-12-09 02:14:16,48652,VIP,Sports,Tennis Racket,1,82.23,82.23,PayPal
TRX-614607,2025-07-12 20:23:30,66057,New,Sports,Water Bottle,1,16.03,16.03,Credit Card
TRX-944797,2025-12-05 16:27:17,76039,Regular,Sports,Tennis Racket,1,129.63,129.63,Credit Card
TRX-988970,2026-03-05 16:59:36,65108,New,Sports,Tennis Racket,1,86.43,86.43,PayPal
TRX-605608,2025-08-14 20:18:07,13905,Regular,Sports,Dumbbells,1,32.88,32.88,PayPal
TRX-409440,2025-11-10 10:56:27,85529,New,Electronics,Laptop,1,972.34,972.34,PayPal
TRX-987067,2026-04-07 08:04:15,68743,Regular,Sports,Dumbbells,1,50.06,50.06,Debit Card
TRX-396835,2025-06-25 06:31:53,11792,New,Clothing,Jeans,1,45.83,45.83,Debit Card
TRX-105735,2026-01-31 02:40:49,89905,Regular,Sports,Yoga Mat,1,21.6,21.6,Debit Card
TRX-686120,2025-11-18 05:51:07,15075,Regular,Electronics,Smartphone,1,668.81,668.81,Debit Card
TRX-602514,2025-12-12 19:50:30,22999,New,Home & Garden,Coffee Maker,1,99.75,99.75,Credit Card
TRX-638292,2025-12-16 05:49:10,51588,Regular,Electronics,Headphones,1,93.72,93.72,Credit Card
TRX-675914,2026-04-20 04:49:04,88222,New,Sports,Tennis Racket,1,122.16,122.16,PayPal
TRX-460265,2025-07-25 02:07:04,59060,Regular,Home & Garden,Lamp,1,47.55,47.55,Credit Card
